VIN,VDD,VSS,VREF,VOUT,IIN,IDD,ISS
0.25,3.0,0.0,0.5,0.001368,4.1e-12,1.04214e-09,-1.02214e-09
0.3,3.0,0.0,0.5,0.005054,2.99e-12,3.7162e-09,-3.68123e-09
0.35,3.0,0.0,0.5,0.013398,-3.8e-13,9.50816e-09,-9.47899e-09
0.4,3.0,0.0,0.5,0.027318,3e-14,1.83116e-08,-1.82511e-08
0.45,3.0,0.0,0.5,0.047432,-1.58e-12,2.94307e-08,-2.93916e-08
0.5,3.0,0.0,0.5,0.073496,-1.98e-12,4.12145e-08,-4.11762e-08
0.55,3.0,0.0,0.5,0.10466,-1.9e-12,5.19399e-08,-5.19051e-08
0.6,3.0,0.0,0.5,0.141512,-7.1e-13,6.07524e-08,-6.07163e-08
0.65,3.0,0.0,0.5,0.182408,-9e-14,6.67588e-08,-6.6727e-08
0.7,3.0,0.0,0.5,0.227674,1.46e-12,7.02919e-08,-7.0263e-08
0.75,3.0,0.0,0.5,0.275424,1.27e-12,7.1901e-08,-7.18932e-08
0.8,3.0,0.0,0.5,0.323722,5.8e-13,7.24932e-08,-7.24685e-08
0.85,3.0,0.0,0.5,0.373418,-8e-13,7.25882e-08,-7.25663e-08
0.9,3.0,0.0,0.5,0.423322,-1.25e-12,7.25857e-08,-7.25516e-08
0.95,3.0,0.0,0.5,0.472572,-1.76e-12,7.24919e-08,-7.24564e-08
1.0,3.0,0.0,0.5,0.522596,-7.6e-13,7.23862e-08,-7.23706e-08
1.05,3.0,0.0,0.5,0.572652,-1.1e-13,7.22839e-08,-7.22589e-08
1.1,3.0,0.0,0.5,0.621992,1.48e-12,7.21847e-08,-7.21507e-08
1.15,3.0,0.0,0.5,0.672136,1.37e-12,7.20656e-08,-7.20602e-08
1.2,3.0,0.0,0.5,0.721448,-1.3e-13,7.19995e-08,-7.19706e-08
1.25,3.0,0.0,0.5,0.771588,-7e-13,7.18957e-08,-7.18778e-08
1.3,3.0,0.0,0.5,0.82174,2.5e-13,7.17797e-08,-7.17662e-08
1.35,3.0,0.0,0.5,0.871168,-1.1e-13,7.16931e-08,-7.16771e-08
1.4,3.0,0.0,0.5,0.921308,-7.5e-13,7.15943e-08,-7.15683e-08
1.45,3.0,0.0,0.5,0.971466,2.9e-13,7.14872e-08,-7.14705e-08
1.5,3.0,0.0,0.5,1.020898,1.36e-12,7.13834e-08,-7.13655e-08
1.55,3.0,0.0,0.5,1.071096,3.6e-13,7.12979e-08,-7.12767e-08
1.6,3.0,0.0,0.5,1.121342,-7e-14,7.12052e-08,-7.1192e-08
1.65,3.0,0.0,0.5,1.170758,-1.6e-13,7.11209e-08,-7.10818e-08
1.7,3.0,0.0,0.5,1.220922,5e-14,7.10514e-08,-7.10268e-08
1.75,3.0,0.0,0.5,1.270392,2.2e-13,7.09582e-08,-7.09408e-08
1.8,3.0,0.0,0.5,1.320564,3.4e-13,7.0875e-08,-7.08546e-08
1.85,3.0,0.0,0.5,1.37073,1.2e-13,7.08081e-08,-7.07812e-08
1.9,3.0,0.0,0.5,1.420204,-5e-14,7.07233e-08,-7.07022e-08
1.95,3.0,0.0,0.5,1.470434,-8.1e-13,7.06487e-08,-7.06356e-08
2.0,3.0,0.0,0.5,1.520606,-2.8e-13,7.05879e-08,-7.05508e-08
2.05,3.0,0.0,0.5,1.570064,-1.28e-12,7.04829e-08,-7.04705e-08
2.1,3.0,0.0,0.5,1.620234,-3.3e-13,7.04218e-08,-7.0403e-08
2.15,3.0,0.0,0.5,1.670474,4.8e-13,7.0335e-08,-7.03167e-08
2.2,3.0,0.0,0.5,1.719868,1.46e-12,7.02874e-08,-7.02733e-08
2.25,3.0,0.0,0.5,1.770082,2.12e-12,7.02202e-08,-7.01903e-08
2.3,3.0,0.0,0.5,1.819544,2.43e-12,7.01542e-08,-7.01296e-08
2.35,3.0,0.0,0.5,1.869712,1.95e-12,7.00771e-08,-7.00594e-08
2.4,3.0,0.0,0.5,1.919916,2e-13,7.00122e-08,-7.00008e-08
2.45,3.0,0.0,0.5,1.969376,3.1e-13,6.99516e-08,-6.9927e-08
2.5,3.0,0.0,0.5,2.019598,-3.1e-13,6.9887e-08,-6.98668e-08
2.55,3.0,0.0,0.5,2.069818,5.8e-13,6.98149e-08,-6.97953e-08
2.6,3.0,0.0,0.5,2.119276,6.7e-13,6.97443e-08,-6.97158e-08
2.65,3.0,0.0,0.5,2.169524,1e-13,6.96775e-08,-6.96589e-08
2.7,3.0,0.0,0.5,2.21986,1.35e-12,6.96171e-08,-6.96026e-08
2.75,3.0,0.0,0.5,2.26936,2.14e-12,6.95592e-08,-6.95355e-08
2.8,3.0,0.0,0.5,2.31956,5.5e-13,6.94946e-08,-6.94821e-08
2.85,3.0,0.0,0.5,2.36982,-7.8e-13,6.94262e-08,-6.94153e-08
2.9,3.0,0.0,0.5,2.41926,-6.8e-13,6.93768e-08,-6.93425e-08
2.95,3.0,0.0,0.5,2.46954,5e-14,6.93068e-08,-6.92925e-08
3.0,3.0,0.0,0.5,2.519,-1e-13,6.92587e-08,-6.92371e-08
0.0,3.0,0.0,1.0,2.8e-05,-5.5e-13,2.3e-13,1.358e-11
0.05,3.0,0.0,1.0,3.2e-05,-7.3e-13,8.4e-13,1.632e-11
0.1,3.0,0.0,1.0,3e-05,6e-13,4.8e-12,1.366e-11
0.15,3.0,0.0,1.0,3.2e-05,-1.29e-12,2.931e-11,-1.301e-11
0.2,3.0,0.0,1.0,6.4e-05,9.9e-13,1.6927e-10,-1.5356e-10
0.25,3.0,0.0,1.0,0.000194,-2.9e-13,8.3165e-10,-8.1395e-10
0.3,3.0,0.0,1.0,0.000682,1.4e-12,3.32183e-09,-3.29517e-09
0.35,3.0,0.0,1.0,0.001994,-3.6e-13,1.005024e-08,-1.002485e-08
0.4,3.0,0.0,1.0,0.004606,1.7e-13,2.32908e-08,-2.3231e-08
0.45,3.0,0.0,1.0,0.008974,5e-14,4.52451e-08,-4.51968e-08
0.5,3.0,0.0,1.0,0.015296,2.4e-13,7.66444e-08,-7.65849e-08
0.55,3.0,0.0,1.0,0.023504,-5.4e-13,1.16649e-07,-1.16593e-07
0.6,3.0,0.0,1.0,0.03392,-3.9e-13,1.66356e-07,-1.66312e-07
0.65,3.0,0.0,1.0,0.046212,-1.23e-12,2.23368e-07,-2.23293e-07
0.7,3.0,0.0,1.0,0.060728,-1.14e-12,2.88513e-07,-2.88456e-07
0.75,3.0,0.0,1.0,0.077252,-6.8e-13,3.59783e-07,-3.5973e-07
0.8,3.0,0.0,1.0,0.095438,4.7e-13,4.34843e-07,-4.34799e-07
0.85,3.0,0.0,1.0,0.115846,2.4e-13,5.14856e-07,-5.14803e-07
0.9,3.0,0.0,1.0,0.138178,1.53e-12,5.97493e-07,-5.97464e-07
0.95,3.0,0.0,1.0,0.161996,1.07e-12,6.80133e-07,-6.8013e-07
1.0,3.0,0.0,1.0,0.188046,-4e-14,7.641e-07,-7.64099e-07
1.05,3.0,0.0,1.0,0.215952,-1.08e-12,8.46941e-07,-8.46938e-07
1.1,3.0,0.0,1.0,0.245262,-1.57e-12,9.26304e-07,-9.26327e-07
1.15,3.0,0.0,1.0,0.276826,-5.4e-13,1.003464e-06,-1.003484e-06
1.2,3.0,0.0,1.0,0.309718,3.8e-13,1.075037e-06,-1.075122e-06
1.25,3.0,0.0,1.0,0.344914,-7.2e-13,1.14235e-06,-1.14211e-06
1.3,3.0,0.0,1.0,0.381952,1e-14,1.20341e-06,-1.20315e-06
1.35,3.0,0.0,1.0,0.420234,9e-14,1.25658e-06,-1.25629e-06
1.4,3.0,0.0,1.0,0.460822,1.35e-12,1.30329e-06,-1.30307e-06
1.45,3.0,0.0,1.0,0.50312,-5.7e-13,1.34227e-06,-1.34204e-06
1.5,3.0,0.0,1.0,0.54634,-2.7e-13,1.37315e-06,-1.37292e-06
1.55,3.0,0.0,1.0,0.591692,5.6e-13,1.3972e-06,-1.3971e-06
1.6,3.0,0.0,1.0,0.638376,-1.3e-13,1.4148e-06,-1.41464e-06
1.65,3.0,0.0,1.0,0.685354,-1.6e-13,1.4266e-06,-1.42636e-06
1.7,3.0,0.0,1.0,0.733882,9.2e-13,1.4342e-06,-1.43392e-06
1.75,3.0,0.0,1.0,0.782306,1.24e-12,1.43844e-06,-1.4382e-06
1.8,3.0,0.0,1.0,0.831828,6.1e-13,1.44069e-06,-1.44044e-06
1.85,3.0,0.0,1.0,0.881606,2e-13,1.44173e-06,-1.4415e-06
1.9,3.0,0.0,1.0,0.93079,-3.36e-12,1.44183e-06,-1.44166e-06
1.95,3.0,0.0,1.0,0.980838,-3.26e-12,1.4418e-06,-1.44152e-06
2.0,3.0,0.0,1.0,1.03084,1.22e-12,1.44142e-06,-1.44118e-06
2.05,3.0,0.0,1.0,1.080154,-1.1e-13,1.44106e-06,-1.44082e-06
2.1,3.0,0.0,1.0,1.130232,-6e-14,1.4407e-06,-1.44042e-06
2.15,3.0,0.0,1.0,1.180318,-5.6e-13,1.44027e-06,-1.44009e-06
2.2,3.0,0.0,1.0,1.229624,1e-14,1.43987e-06,-1.43964e-06
2.25,3.0,0.0,1.0,1.27973,-1.29e-12,1.43941e-06,-1.4391e-06
2.3,3.0,0.0,1.0,1.329086,-4.6e-13,1.43885e-06,-1.4386e-06
2.35,3.0,0.0,1.0,1.379202,5.4e-13,1.43836e-06,-1.43823e-06
2.4,3.0,0.0,1.0,1.429292,4.4e-13,1.43795e-06,-1.43772e-06
2.45,3.0,0.0,1.0,1.478696,-5.3e-13,1.43748e-06,-1.4373e-06
2.5,3.0,0.0,1.0,1.528848,-1.75e-12,1.43673e-06,-1.43661e-06
2.55,3.0,0.0,1.0,1.578952,-9e-13,1.43636e-06,-1.43625e-06
2.6,3.0,0.0,1.0,1.62835,3.5e-13,1.43588e-06,-1.43562e-06
2.65,3.0,0.0,1.0,1.678498,-5.4e-13,1.43526e-06,-1.43508e-06
2.7,3.0,0.0,1.0,1.728668,-1.05e-12,1.43476e-06,-1.43453e-06
2.75,3.0,0.0,1.0,1.778088,3.5e-13,1.43449e-06,-1.4341e-06
2.8,3.0,0.0,1.0,1.828244,2.1e-13,1.43392e-06,-1.43364e-06
2.85,3.0,0.0,1.0,1.878414,-4e-13,1.43339e-06,-1.43324e-06
2.9,3.0,0.0,1.0,1.92782,-6.6e-13,1.43281e-06,-1.43261e-06
2.95,3.0,0.0,1.0,1.978004,-3e-13,1.43231e-06,-1.43204e-06
3.0,3.0,0.0,1.0,2.027386,7.8e-13,1.43174e-06,-1.43149e-06
0.0,3.0,0.0,1.5,3.8e-05,-8.7e-13,2.1e-13,1.671e-11
0.05,3.0,0.0,1.5,3.6e-05,-7.9e-13,7.5e-13,1.687e-11
0.1,3.0,0.0,1.5,3.8e-05,1.79e-12,4.17e-12,1.475e-11
0.15,3.0,0.0,1.5,4.2e-05,-1.6e-12,2.525e-11,-6.24e-12
0.2,3.0,0.0,1.5,5e-05,1.32e-12,1.4491e-10,-1.2724e-10
0.25,3.0,0.0,1.5,0.0001,-5.8e-13,7.1167e-10,-6.908e-10
0.3,3.0,0.0,1.5,0.000288,3.7e-13,2.88034e-09,-2.85487e-09
0.35,3.0,0.0,1.5,0.00081,6e-14,8.98675e-09,-8.95869e-09
0.4,3.0,0.0,1.5,0.001908,-5.3e-13,2.16508e-08,-2.15897e-08
0.45,3.0,0.0,1.5,0.00383,8e-13,4.38498e-08,-4.38018e-08
0.5,3.0,0.0,1.5,0.006742,-6.5e-13,7.7358e-08,-7.73156e-08
0.55,3.0,0.0,1.5,0.01068,-1.78e-12,1.22362e-07,-1.22258e-07
0.6,3.0,0.0,1.5,0.01584,-2.81e-12,1.81166e-07,-1.81133e-07
0.65,3.0,0.0,1.5,0.022126,-2.32e-12,2.52151e-07,-2.52101e-07
0.7,3.0,0.0,1.5,0.029746,8e-14,3.37439e-07,-3.37333e-07
0.75,3.0,0.0,1.5,0.03863,3.7e-13,4.3562e-07,-4.35564e-07
0.8,3.0,0.0,1.5,0.048572,4.6e-13,5.44345e-07,-5.44251e-07
0.85,3.0,0.0,1.5,0.059912,8.9e-13,6.66395e-07,-6.66347e-07
0.9,3.0,0.0,1.5,0.072482,1.93e-12,7.99563e-07,-7.99492e-07
0.95,3.0,0.0,1.5,0.086042,7.2e-13,9.40726e-07,-9.40644e-07
1.0,3.0,0.0,1.5,0.100984,5.1e-13,1.093005e-06,-1.093005e-06
1.05,3.0,0.0,1.5,0.117088,-1.44e-12,1.25358e-06,-1.25301e-06
1.1,3.0,0.0,1.5,0.134092,8.9e-13,1.41931e-06,-1.41895e-06
1.15,3.0,0.0,1.5,0.152528,1.85e-12,1.59421e-06,-1.59383e-06
1.2,3.0,0.0,1.5,0.171778,5.1e-13,1.77184e-06,-1.77145e-06
1.25,3.0,0.0,1.5,0.192416,6.7e-13,1.95679e-06,-1.95634e-06
1.3,3.0,0.0,1.5,0.214152,-8.2e-13,2.14526e-06,-2.14484e-06
1.35,3.0,0.0,1.5,0.236662,-9.6e-13,2.3335e-06,-2.33313e-06
1.4,3.0,0.0,1.5,0.260566,-4.6e-13,2.52635e-06,-2.52587e-06
1.45,3.0,0.0,1.5,0.285536,1.4e-13,2.71975e-06,-2.71932e-06
1.5,3.0,0.0,1.5,0.311208,-2.8e-13,2.91033e-06,-2.90986e-06
1.55,3.0,0.0,1.5,0.338368,-2.7e-13,3.10266e-06,-3.10228e-06
1.6,3.0,0.0,1.5,0.36659,1.8e-13,3.29311e-06,-3.29266e-06
1.65,3.0,0.0,1.5,0.395402,4.5e-13,3.47729e-06,-3.47686e-06
1.7,3.0,0.0,1.5,0.42573,-4.1e-13,3.66035e-06,-3.66001e-06
1.75,3.0,0.0,1.5,0.456648,-4e-14,3.83619e-06,-3.83566e-06
1.8,3.0,0.0,1.5,0.489082,1.01e-12,4.0089e-06,-4.00826e-06
1.85,3.0,0.0,1.5,0.522618,1.73e-12,4.17517e-06,-4.17472e-06
1.9,3.0,0.0,1.5,0.556714,1.32e-12,4.33177e-06,-4.33133e-06
1.95,3.0,0.0,1.5,0.592438,6e-13,4.48295e-06,-4.48242e-06
2.0,3.0,0.0,1.5,0.629208,1.37e-12,4.62518e-06,-4.62472e-06
2.05,3.0,0.0,1.5,0.666502,6.7e-13,4.75646e-06,-4.75595e-06
2.1,3.0,0.0,1.5,0.705458,1e-13,4.87938e-06,-4.87887e-06
