VIN,VDD,VSS,VREF,VOUT,IIN,IDD,ISS
0.0,3.0,0.0,0.5,0.00026,3.7e-13,7.4973e-10,-7.3848e-10
0.05,3.0,0.0,0.5,0.00128,-1.1e-13,2.9645e-09,-2.9859e-09
0.1,3.0,0.0,0.5,0.00358,3.74e-12,8.4962e-09,-8.393e-09
0.15,3.0,0.0,0.5,0.00826,-2.2e-13,1.9237e-08,-1.9293e-08
0.2,3.0,0.0,0.5,0.0158,6.2e-13,3.6194e-08,-3.6036e-08
0.25,3.0,0.0,0.5,0.02626,-2.81e-12,5.885e-08,-5.8934e-08
0.3,3.0,0.0,0.5,0.04012,-1.5e-13,8.7533e-08,-8.7417e-08
0.35,3.0,0.0,0.5,0.05712,2.82e-12,1.2007e-07,-1.199e-07
0.4,3.0,0.0,0.5,0.07714,3.78e-12,1.5513e-07,-1.5521e-07
0.45,3.0,0.0,0.5,0.10056,-7.1e-13,1.9264e-07,-1.9259e-07
0.5,3.0,0.0,0.5,0.12714,4.8e-13,2.2992e-07,-2.299e-07
0.55,3.0,0.0,0.5,0.15648,1.5e-12,2.652e-07,-2.652e-07
0.6,3.0,0.0,0.5,0.1892,2.2e-13,2.9798e-07,-2.9801e-07
0.65,3.0,0.0,0.5,0.22466,5.3e-13,3.2613e-07,-3.2628e-07
0.7,3.0,0.0,0.5,0.2637,-4.43e-12,3.4978e-07,-3.4972e-07
0.75,3.0,0.0,0.5,0.30584,-1.5e-12,3.6742e-07,-3.6755e-07
0.8,3.0,0.0,0.5,0.34974,-9e-14,3.7919e-07,-3.7916e-07
0.85,3.0,0.0,0.5,0.39656,2e-12,3.863e-07,-3.8625e-07
0.9,3.0,0.0,0.5,0.44504,4.36e-12,3.8971e-07,-3.8972e-07
0.95,3.0,0.0,0.5,0.49366,2.09e-12,3.9087e-07,-3.9096e-07
1.0,3.0,0.0,0.5,0.54352,9.7e-13,3.9115e-07,-3.9125e-07
1.05,3.0,0.0,0.5,0.59344,-9.49e-12,3.9134e-07,-3.9127e-07
1.1,3.0,0.0,0.5,0.64284,-2.66e-12,3.9081e-07,-3.9088e-07
1.15,3.0,0.0,0.5,0.69294,2.01e-12,3.9062e-07,-3.9056e-07
1.2,3.0,0.0,0.5,0.74232,1.34e-12,3.8998e-07,-3.9032e-07
1.25,3.0,0.0,0.5,0.79244,3.25e-12,3.9004e-07,-3.8976e-07
1.3,3.0,0.0,0.5,0.84262,-3.5e-13,3.8938e-07,-3.8954e-07
1.35,3.0,0.0,0.5,0.89206,1.17e-12,3.8915e-07,-3.891e-07
1.4,3.0,0.0,0.5,0.9422,-2.33e-12,3.8874e-07,-3.8891e-07
1.45,3.0,0.0,0.5,0.99228,-6.77e-12,3.8842e-07,-3.8834e-07
1.5,3.0,0.0,0.5,1.04184,-6.59e-12,3.8804e-07,-3.8816e-07
1.55,3.0,0.0,0.5,1.09206,-2.33e-12,3.8757e-07,-3.8789e-07
1.6,3.0,0.0,0.5,1.1423,-2e-13,3.8758e-07,-3.8739e-07
1.65,3.0,0.0,0.5,1.19166,-1.31e-12,3.8712e-07,-3.8725e-07
1.7,3.0,0.0,0.5,1.24192,3.56e-12,3.8679e-07,-3.8675e-07
1.75,3.0,0.0,0.5,1.29136,7.1e-13,3.8651e-07,-3.8667e-07
1.8,3.0,0.0,0.5,1.34152,6.94e-12,3.8611e-07,-3.8623e-07
1.85,3.0,0.0,0.5,1.39174,-2.19e-12,3.8603e-07,-3.8572e-07
1.9,3.0,0.0,0.5,1.44116,-2.22e-12,3.8542e-07,-3.856e-07
1.95,3.0,0.0,0.5,1.4914,2.7e-13,3.8532e-07,-3.8521e-07
2.0,3.0,0.0,0.5,1.54154,-5.41e-12,3.8496e-07,-3.8506e-07
2.05,3.0,0.0,0.5,1.59102,-4.34e-12,3.848e-07,-3.8467e-07
